date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
11:48:36	302/302	---M--	302	error ('Found')	text/html	date:Fri,%2010%20Nov%202023%2010:48:35%20GMT	http://csabaibio.elte.hu/robots.txt		(from )
11:48:38	9505/9505	---M-Z	200	added ('OK')	text/html	etag:%222521-5a1e6de7f7bc0-gzip%22	http://csabaibio.elte.hu/	/home/olaralex/websites/csabaibio/csabaibio.elte.hu/index.html	(from )
11:48:39	302/302	---M--	302	error ('Found')	text/html	date:Fri,%2010%20Nov%202023%2010:48:38%20GMT	http://csabaibio.elte.hu/assets/img/icon.ico	/home/olaralex/websites/csabaibio/csabaibio.elte.hu/assets/img/icon.0.delayed	(from http://csabaibio.elte.hu/)
11:48:39	302/302	---M--	302	error ('Found')	text/html	date:Fri,%2010%20Nov%202023%2010:48:39%20GMT	http://csabaibio.elte.hu/favicon.html	/home/olaralex/websites/csabaibio/csabaibio.elte.hu/favicon.1.delayed	(from http://csabaibio.elte.hu/)
11:48:40	122175/122175	---M-Z	200	added ('OK')	text/css	etag:%221dd3f-52fbacb03ce00-gzip%22	http://csabaibio.elte.hu/assets/css/bootstrap.css	/home/olaralex/websites/csabaibio/csabaibio.elte.hu/assets/css/bootstrap.css	(from http://csabaibio.elte.hu/)
11:48:41	59924/59924	---M-Z	200	added ('OK')	text/css	etag:%22ea14-4f40661861180-gzip%22	http://csabaibio.elte.hu/assets/css/animate.css	/home/olaralex/websites/csabaibio/csabaibio.elte.hu/assets/css/animate.css	(from http://csabaibio.elte.hu/)
11:48:42	25284/25284	---M-Z	200	added ('OK')	text/css	etag:%2262c4-5002e728ea580-gzip%22	http://csabaibio.elte.hu/assets/css/font-awesome.css	/home/olaralex/websites/csabaibio/csabaibio.elte.hu/assets/css/font-awesome.css	(from http://csabaibio.elte.hu/)
11:48:43	58295/58295	---M-Z	200	added ('OK')	text/css	etag:%22e3b7-52be031d0f600-gzip%22	http://csabaibio.elte.hu/assets/css/nexus.css	/home/olaralex/websites/csabaibio/csabaibio.elte.hu/assets/css/nexus.css	(from http://csabaibio.elte.hu/)
11:48:44	836/836	---M-Z	200	added ('OK')	text/css	etag:%22344-5000f35856f80-gzip%22	http://csabaibio.elte.hu/assets/css/responsive.css	/home/olaralex/websites/csabaibio/csabaibio.elte.hu/assets/css/responsive.css	(from http://csabaibio.elte.hu/)
11:48:45	0/0	---M--	200	added ('OK')	text/css	etag:%220-500fbc3d71f80%22	http://csabaibio.elte.hu/assets/css/custom.css	/home/olaralex/websites/csabaibio/csabaibio.elte.hu/assets/css/custom.7.delayed	(from http://csabaibio.elte.hu/)
11:48:46	346/346	---MC-	200	added ('OK')	text/css	date:Fri,%2010%20Nov%202023%2010:48:46%20GMT	http://fonts.googleapis.com/css?family=Lato:400,300	/home/olaralex/websites/csabaibio/fonts.googleapis.com/cssb91f.css	(from http://csabaibio.elte.hu/)
11:48:47	490/490	---MC-	200	added ('OK')	text/css	date:Fri,%2010%20Nov%202023%2010:48:47%20GMT	http://fonts.googleapis.com/css?family=Open+Sans:400,300	/home/olaralex/websites/csabaibio/fonts.googleapis.com/css5c0a.css	(from http://csabaibio.elte.hu/)
11:48:48	302/302	---M--	302	error ('Found')	text/html	date:Fri,%2010%20Nov%202023%2010:48:48%20GMT	http://csabaibio.elte.hu/assets/img/bg5.jpg	/home/olaralex/websites/csabaibio/csabaibio.elte.hu/assets/img/bg5.a.delayed	(from http://csabaibio.elte.hu/)
11:48:49	9505/9505	---M-Z	200	added ('OK')	text/html	etag:%222521-5a1e6de7f7bc0-gzip%22	http://csabaibio.elte.hu/index.html	/home/olaralex/websites/csabaibio/csabaibio.elte.hu/index-2.html	(from http://csabaibio.elte.hu/)
11:48:50	10048/10048	---M--	200	added ('OK')	image/png	etag:%222740-5b072c7d5ef40%22	http://csabaibio.elte.hu/assets/img/logo.png	/home/olaralex/websites/csabaibio/csabaibio.elte.hu/assets/img/logo.png	(from http://csabaibio.elte.hu/)
11:48:51	9734/9734	---M-Z	200	added ('OK')	text/html	etag:%222606-5a125c5538400-gzip%22	http://csabaibio.elte.hu/project.html	/home/olaralex/websites/csabaibio/csabaibio.elte.hu/project.html	(from http://csabaibio.elte.hu/)
11:48:52	11945/11945	---M-Z	200	added ('OK')	text/html	etag:%222ea9-5b00bb5df6a80-gzip%22	http://csabaibio.elte.hu/publications.html	/home/olaralex/websites/csabaibio/csabaibio.elte.hu/publications.html	(from http://csabaibio.elte.hu/)
11:48:54	9224/9224	---M-Z	200	added ('OK')	text/html	etag:%222408-5a125c5814ac0-gzip%22	http://csabaibio.elte.hu/collaboration.html	/home/olaralex/websites/csabaibio/csabaibio.elte.hu/collaboration.html	(from http://csabaibio.elte.hu/)
11:48:54	9883/9883	---M-Z	200	added ('OK')	text/html	etag:%22269b-5a125c562c640-gzip%22	http://csabaibio.elte.hu/fundings.html	/home/olaralex/websites/csabaibio/csabaibio.elte.hu/fundings.html	(from http://csabaibio.elte.hu/)
11:48:56	21053/21053	---M-Z	200	added ('OK')	text/html	etag:%22523d-5b01e6a26fa00-gzip%22	http://csabaibio.elte.hu/team.html	/home/olaralex/websites/csabaibio/csabaibio.elte.hu/team.html	(from http://csabaibio.elte.hu/)
11:48:56	6851/6851	---M-Z	200	added ('OK')	text/html	etag:%221ac3-5a12644768340-gzip%22	http://csabaibio.elte.hu/tools/isomut/isomut.html	/home/olaralex/websites/csabaibio/csabaibio.elte.hu/tools/isomut/isomut.html	(from http://csabaibio.elte.hu/)
11:48:57	6503/6503	---M-Z	200	added ('OK')	text/html	etag:%221967-5a1263e2514c0-gzip%22	http://csabaibio.elte.hu/tools/kooplex/kooplex.html	/home/olaralex/websites/csabaibio/csabaibio.elte.hu/tools/kooplex/kooplex.html	(from http://csabaibio.elte.hu/)
11:48:58	7521/7521	---M-Z	200	added ('OK')	text/html	etag:%221d61-5d9b5e19ca240-gzip%22	http://csabaibio.elte.hu/tools/veo/covid19.html	/home/olaralex/websites/csabaibio/csabaibio.elte.hu/tools/veo/covid19.html	(from http://csabaibio.elte.hu/)
11:48:59	9694/9694	---M-Z	200	added ('OK')	text/html	etag:%2225de-5b00b77e24680-gzip%22	http://csabaibio.elte.hu/teaching.html	/home/olaralex/websites/csabaibio/csabaibio.elte.hu/teaching.html	(from http://csabaibio.elte.hu/)
11:49:00	8853/8853	---M-Z	200	added ('OK')	text/html	etag:%222295-5a125c562c640-gzip%22	http://csabaibio.elte.hu/internal.html	/home/olaralex/websites/csabaibio/csabaibio.elte.hu/internal.html	(from http://csabaibio.elte.hu/)
11:49:01	12617/12617	---M-Z	200	added ('OK')	text/html	etag:%223149-5b1b0c2bbc7c0-gzip%22	http://csabaibio.elte.hu/news.html	/home/olaralex/websites/csabaibio/csabaibio.elte.hu/news.html	(from http://csabaibio.elte.hu/)
11:49:02	9191/9191	---M-Z	200	added ('OK')	text/html	etag:%2223e7-5a125c5720880-gzip%22	http://csabaibio.elte.hu/contact.html	/home/olaralex/websites/csabaibio/csabaibio.elte.hu/contact.html	(from http://csabaibio.elte.hu/)
11:49:06	47891/47891	---M--	200	added ('OK')	image/png	etag:%22bb13-567da2c1a3600%22	http://csabaibio.elte.hu/assets/img/wordcloud.png	/home/olaralex/websites/csabaibio/csabaibio.elte.hu/assets/img/wordcloud.png	(from http://csabaibio.elte.hu/)
11:49:08	3029/3029	---M-Z	200	added ('OK')	application/javascript	etag:%22bd5-50100161a3f80-gzip%22	http://csabaibio.elte.hu/assets/js/scripts.js	/home/olaralex/websites/csabaibio/csabaibio.elte.hu/assets/js/scripts.js	(from http://csabaibio.elte.hu/)
11:49:08	29110/29110	---M-Z	200	added ('OK')	application/javascript	etag:%2271b6-4f243bf984280-gzip%22	http://csabaibio.elte.hu/assets/js/bootstrap.min.js	/home/olaralex/websites/csabaibio/csabaibio.elte.hu/assets/js/bootstrap.min.js	(from http://csabaibio.elte.hu/)
11:49:09	96381/96381	---M-Z	200	added ('OK')	application/javascript	etag:%221787d-4f9e65a341680-gzip%22	http://csabaibio.elte.hu/assets/js/jquery.min.js	/home/olaralex/websites/csabaibio/csabaibio.elte.hu/assets/js/jquery.min.js	(from http://csabaibio.elte.hu/)
11:49:10	11160/11160	---M-Z	200	added ('OK')	application/javascript	etag:%222b98-5000dd81e6a00-gzip%22	http://csabaibio.elte.hu/assets/js/jquery.slicknav.js	/home/olaralex/websites/csabaibio/csabaibio.elte.hu/assets/js/jquery.slicknav.js	(from http://csabaibio.elte.hu/)
11:49:10	3385/3385	---M-Z	200	added ('OK')	application/javascript	etag:%22d39-4f270b16fdd80-gzip%22	http://csabaibio.elte.hu/assets/js/jquery.visible.js	/home/olaralex/websites/csabaibio/csabaibio.elte.hu/assets/js/jquery.visible.js	(from http://csabaibio.elte.hu/)
11:49:12	4123/4123	---M-Z	200	added ('OK')	application/javascript	etag:%22101b-5000a89f8a500-gzip%22	http://csabaibio.elte.hu/assets/js/slimbox2.js	/home/olaralex/websites/csabaibio/csabaibio.elte.hu/assets/js/slimbox2.js	(from http://csabaibio.elte.hu/)
11:49:12	146146/146146	---M-Z	200	added ('OK')	application/javascript	etag:%2223ae2-4f7c99957d500-gzip%22	http://csabaibio.elte.hu/assets/js/jquery.isotope.js	/home/olaralex/websites/csabaibio/csabaibio.elte.hu/assets/js/jquery.isotope.js	(from http://csabaibio.elte.hu/)
11:49:12	9041/9041	---M-Z	200	added ('OK')	application/javascript	etag:%222351-4e822ded6e500-gzip%22	http://csabaibio.elte.hu/assets/js/modernizr.custom.js	/home/olaralex/websites/csabaibio/csabaibio.elte.hu/assets/js/modernizr.custom.js	(from http://csabaibio.elte.hu/)
11:49:13	51/51	---MCZ	200	added ('OK')	text/plain	date:Fri,%2010%20Nov%202023%2010:49:12%20GMT	http://fonts.googleapis.com/robots.txt		(from http://csabaibio.elte.hu/)
11:49:13	0/-1	---M--	302	error ('')			http://csabaibio.elte.hu/assets/img/icon.ico	/home/olaralex/websites/csabaibio/csabaibio.elte.hu/assets/img/icon.22.delayed	(from http://csabaibio.elte.hu/index.html)
11:49:13	0/-1	---M--	302	error ('')			http://csabaibio.elte.hu/favicon.html	/home/olaralex/websites/csabaibio/csabaibio.elte.hu/favicon.23.delayed	(from http://csabaibio.elte.hu/index.html)
11:49:13	0/-1	---M--	302	error ('')			http://csabaibio.elte.hu/assets/img/bg5.jpg	/home/olaralex/websites/csabaibio/csabaibio.elte.hu/assets/img/bg5.24.delayed	(from http://csabaibio.elte.hu/index.html)
11:49:13	0/-1	---M--	302	error ('')			http://csabaibio.elte.hu/assets/img/icon.ico	/home/olaralex/websites/csabaibio/csabaibio.elte.hu/assets/img/icon.25.delayed	(from http://csabaibio.elte.hu/project.html)
11:49:13	0/-1	---M--	302	error ('')			http://csabaibio.elte.hu/favicon.html	/home/olaralex/websites/csabaibio/csabaibio.elte.hu/favicon.26.delayed	(from http://csabaibio.elte.hu/project.html)
11:49:13	0/-1	---M--	302	error ('')			http://csabaibio.elte.hu/assets/img/bg5.jpg	/home/olaralex/websites/csabaibio/csabaibio.elte.hu/assets/img/bg5.27.delayed	(from http://csabaibio.elte.hu/project.html)
11:49:13	7285/7285	---M-Z	200	added ('OK')	text/html	etag:%221c75-5a12637969d40-gzip%22	http://csabaibio.elte.hu/tools/veo/veo.html	/home/olaralex/websites/csabaibio/csabaibio.elte.hu/tools/veo/veo.html	(from http://csabaibio.elte.hu/project.html)
11:49:17	44782/44782	---M--	200	added ('OK')	image/png	etag:%22aeee-5a020bf557640%22	http://csabaibio.elte.hu/tools/veo/veo.png	/home/olaralex/websites/csabaibio/csabaibio.elte.hu/tools/veo/veo.png	(from http://csabaibio.elte.hu/project.html)
11:49:22	34994/34994	---M--	200	added ('OK')	image/png	etag:%2288b2-567da0336ae80%22	http://csabaibio.elte.hu/tools/kooplex/kooplex_ures.png	/home/olaralex/websites/csabaibio/csabaibio.elte.hu/tools/kooplex/kooplex_ures.png	(from http://csabaibio.elte.hu/project.html)
11:49:30	75609/75609	---M--	200	added ('OK')	image/png	etag:%2212759-569a2bd5a8d80%22	http://csabaibio.elte.hu/assets/img/mammo.png	/home/olaralex/websites/csabaibio/csabaibio.elte.hu/assets/img/mammo.png	(from http://csabaibio.elte.hu/project.html)
11:49:30	0/-1	---M--	302	error ('')			http://csabaibio.elte.hu/assets/img/icon.ico	/home/olaralex/websites/csabaibio/csabaibio.elte.hu/assets/img/icon.2f.delayed	(from http://csabaibio.elte.hu/publications.html)
11:49:30	0/-1	---M--	302	error ('')			http://csabaibio.elte.hu/favicon.html	/home/olaralex/websites/csabaibio/csabaibio.elte.hu/favicon.30.delayed	(from http://csabaibio.elte.hu/publications.html)
11:49:30	0/-1	---M--	302	error ('')			http://csabaibio.elte.hu/assets/img/bg5.jpg	/home/olaralex/websites/csabaibio/csabaibio.elte.hu/assets/img/bg5.31.delayed	(from http://csabaibio.elte.hu/publications.html)
11:49:30	0/-1	---M--	302	error ('')			http://csabaibio.elte.hu/assets/img/icon.ico	/home/olaralex/websites/csabaibio/csabaibio.elte.hu/assets/img/icon.32.delayed	(from http://csabaibio.elte.hu/collaboration.html)
11:49:30	0/-1	---M--	302	error ('')			http://csabaibio.elte.hu/favicon.html	/home/olaralex/websites/csabaibio/csabaibio.elte.hu/favicon.33.delayed	(from http://csabaibio.elte.hu/collaboration.html)
11:49:30	0/-1	---M--	302	error ('')			http://csabaibio.elte.hu/assets/img/bg5.jpg	/home/olaralex/websites/csabaibio/csabaibio.elte.hu/assets/img/bg5.34.delayed	(from http://csabaibio.elte.hu/collaboration.html)
11:49:33	1292/1292	---M--	200	added ('OK')	image/png	etag:%2250c-4d50d4a056000%22	http://csabaibio.elte.hu/assets/img/link.png	/home/olaralex/websites/csabaibio/csabaibio.elte.hu/assets/img/link.png	(from http://csabaibio.elte.hu/collaboration.html)
11:49:33	0/-1	---M--	302	error ('')			http://csabaibio.elte.hu/assets/img/icon.ico	/home/olaralex/websites/csabaibio/csabaibio.elte.hu/assets/img/icon.36.delayed	(from http://csabaibio.elte.hu/fundings.html)
11:49:33	0/-1	---M--	302	error ('')			http://csabaibio.elte.hu/favicon.html	/home/olaralex/websites/csabaibio/csabaibio.elte.hu/favicon.37.delayed	(from http://csabaibio.elte.hu/fundings.html)
11:49:33	0/-1	---M--	302	error ('')			http://csabaibio.elte.hu/assets/img/bg5.jpg	/home/olaralex/websites/csabaibio/csabaibio.elte.hu/assets/img/bg5.38.delayed	(from http://csabaibio.elte.hu/fundings.html)
